Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:54:28] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:37:18] 	2.590	+0.060	+2.4	201	2.580	2.590	248	2.600	2.560
[14:38:46] 	2.590	+0.060	+2.4	191	2.580	2.590	268	2.600	2.560
[14:40:38] 	2.590	+0.060	+2.4	171	2.580	2.590	248	2.600	2.560
[14:42:47] 	2.590	+0.060	+2.4	170	2.580	2.590	277	2.600	2.560
[14:43:55] 	2.590	+0.060	+2.4	271	2.580	2.590	272	2.600	2.560
[14:44:58] 	2.590	+0.060	+2.4	274	2.580	2.590	276	2.600	2.560
[14:46:11] 	2.590	+0.060	+2.4	347	2.580	2.590	406	2.600	2.560
[14:47:14] 	2.590	+0.060	+2.4	347	2.580	2.590	409	2.600	2.560
[14:48:38] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[14:49:55] 	2.590	+0.060	+2.4	347	2.580	2.590	409	2.600	2.560
[14:51:08] 	2.590	+0.060	+2.4	345	2.580	2.590	413	2.600	2.560
[14:52:32] 	2.580	+0.050	+2.0	344	2.580	2.590	410	2.600	2.560
[14:53:36] 	2.580	+0.050	+2.0	343	2.580	2.590	411	2.600	2.560
[14:54:42] 	2.580	+0.050	+2.0	269	2.580	2.590	76	2.600	2.560
[14:55:58] 	2.590	+0.060	+2.4	284	2.580	2.590	167	2.600	2.560
[14:57:01] 	2.590	+0.060	+2.4	284	2.580	2.590	269	2.600	2.560
[14:58:30] 	2.590	+0.060	+2.4	265	2.580	2.590	273	2.600	2.560
[14:59:33] 	2.590	+0.060	+2.4	276	2.580	2.590	273	2.600	2.560
[15:00:45] 	2.590	+0.060	+2.4	277	2.580	2.590	273	2.600	2.560
[15:01:54] 	2.580	+0.050	+2.0	476	2.570	2.580	32	2.600	2.560
[15:03:17] 	2.580	+0.050	+2.0	504	2.570	2.580	155	2.600	2.560
[15:04:36] 	2.580	+0.050	+2.0	494	2.570	2.580	360	2.600	2.560
[15:05:39] 	2.580	+0.050	+2.0	496	2.570	2.580	360	2.600	2.560
[15:07:00] 	2.580	+0.050	+2.0	497	2.570	2.580	362	2.600	2.560
[15:08:15] 	2.570	+0.040	+1.6	496	2.570	2.580	361	2.600	2.560
[15:09:18] 	2.570	+0.040	+1.6	446	2.570	2.580	361	2.600	2.560
[15:10:17] 	2.570	+0.040	+1.6	448	2.570	2.580	361	2.600	2.560
[15:11:18] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[15:12:20] 	2.570	+0.040	+1.6	448	2.570	2.580	356	2.600	2.560
[15:13:23] 	2.570	+0.040	+1.6	397	2.570	2.580	356	2.600	2.560
[15:14:38] 	2.570	+0.040	+1.6	404	2.570	2.580	352	2.600	2.560
