Time		Price	Change	C%	BVol	Buy	Sell	SVol	LP	HP
[09:51:08] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:50:47] 	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined	undefined
[16:51:35] 	8.380	+0.250	+3.1	32	8.370	8.380	12	8.420	8.150
[16:52:35] 	8.380	+0.250	+3.1	12	8.380	8.390	79	8.420	8.150
[16:53:32] 	8.380	+0.250	+3.1	47	8.370	8.380	12	8.420	8.150
[16:54:07] 	8.380	+0.250	+3.1	47	8.370	8.380	13	8.420	8.150
[16:55:06] 	8.380	+0.250	+3.1	22	8.380	8.390	87	8.420	8.150
[16:56:20] 	8.380	+0.250	+3.1	28	8.380	8.390	91	8.420	8.150
[16:57:28] 	8.390	+0.260	+3.2	32	8.380	8.390	76	8.420	8.150
[16:58:32] 	8.390	+0.260	+3.2	36	8.380	8.390	18	8.420	8.150
[16:59:55] 	8.390	+0.260	+3.2	12	8.650	8.390	3	8.420	8.150
[17:01:14] 	8.390	+0.260	+3.2	25	10.000	8.060	44	8.420	8.150
[17:05:30] 	8.390	+0.260	+3.2	37	10.000	8.060	44	8.420	8.150
[17:06:46] 	8.390	+0.260	+3.2	71	8.390	8.400	371	8.420	8.150
